0:3591 1673 1631 4968 5944 5919 4620 3404 446 5977
0:16045 6359 3839 14476 12244 14607 1538 9579 4179 15113
0:791 701 3007 1400 8800 2018 3885 1948 2126 800
0:755 709 8721 549 1398 1350 773 3120 132 1090
0:3591 1673 4649 4518 9046 1313 250 5510 1301 5758
0:655 4137 971 2798 814 2589 281 953 954 4001
0:6723 7149 4179 7498 7492 3292 1508 7436 7500 7493
0:3591 1673 1557 2944 3404 684 1005 11105 441 501
0:2461 9133 17 2215 1937 628 226 3445 6979 9604
1:7786 1903 830 3091 740 1115 4808 746 2000 1380
0:3660 2914 2445 135 4780 240 6393 3569 1090 11027
0:2914 888 2445 1456 1041 6393 2768 5001 4777 1395
0:16045 14607 4179 12244 6359 15815 15113 9026 8531 15324
0:2589 888 1038 2593 971 954 953 2878 7054 4579
0:12571 746 2472 7672 483 369 917 4808 6294 5120
0:16045 14607 4179 6359 12244 15113 15815 8531 15358 16318
0:2462 2489 1181 1665 2637 3175 4689 4281 3012 243
0:3591 5977 4620 6416 4968 5919 6572 4018 6063 6848
1:14035 7790 3064 13912 15073 6862 6297 4604 5994 937
0:14177 9966 9103 10605 3981 12842 7545 11328 13443 12563
1:5633 1005 1891 1090 1009 5630 9392 5620 3319 944
0:1104 944 1665 2240 9392 1009 1203 1974 1194 1005
0:655 2798 281 814 3638 6971 4572 283 430 267
0:13410 14782 767 10632 13863 3802 14276 15184 13301 15531
0:28 14 477 1200 746 11567 380 2 23 6495
0:1937 1137 2159 1141 2164 4958 5820 1192 1090 1763
0:1712 6416 5977 6572 4620 4968 1700 1944 4018 5919
0:740 2691 830 1115 838 8707 746 6014 6802 2123
0:17 2216 453 3414 226 5267 3808 755 1181 1213
0:1192 1104 1937 1974 2240 1203 1944 1009 2609 1090
1:43 42 8906 107 1590 1500 1568 62 2048 6850
0:3818 571 1408 3100 10907 6297 11588 6689 7790 1409
0:3981 7545 9103 9966 5034 7922 9164 615 8160 8504
0:13410 767 13863 14715 3802 14276 13109 15531 15197 13043
0:2240 2221 4069 988 1203 6218 2235 1213 4820 10065
0:917 1395 2445 5690 2715 3236 13194 5265 2914 2472
1:1398 2087 1130 1538 12526 549 11236 709 5546 8721
0:1090 5088 135 3660 861 546 2914 2445 642 6799
0:12571 13534 11887 4808 11939 12453 13279 2389 2712 14629
0:5633 5630 5624 5631 5620 5634 5617 5626 5625 5623
0:4808 7786 2653 1395 1903 2712 5690 1928 3091 2389
0:1755 914 1903 1090 5820 1937 1192 1759 2164 1767
0:888 701 1948 1919 1041 5413 3966 211 10921 1929
0:521 921 453 5267 1213 2221 1104 3414 3839 1203
0:17 226 2216 477 453 28 14 16 380 3808
0:1673 1648 418 1557 1631 50 47 11571 6304 205
0:13410 13863 14715 15531 14276 15184 15263 13911 13043 13320
0:3125 15 1557 1634 1005 7579 1810 777 7049 14
0:1673 767 2944 1213 2216 684 17 4303 2194 2240
0:2240 1203 50 9392 666 47 1199 1005 1668 2221
0:9392 1891 1203 1665 2240 1009 2211 944 2166 1181
1:7545 3981 755 2489 9103 2462 17 7170 8504 8420
0:2446 628 6437 2087 807 3045 5456 5039 655 6021
0:11571 5913 1673 11577 12523 11538 16105 15134 5108 9914
0:11538 9914 6729 1891 1199 465 5108 15495 2208 1190
0:1673 767 1538 1537 501 4520 3601 2146 1005 2728
0:9133 1937 705 9055 8753 2215 3536 5768 2461 6834
0:14607 16045 12244 4179 15113 8531 6359 10681 6294 16731
0:13912 14035 15073 4604 7436 13247 1508 8464 10907 11221
0:1203 1009 845 2240 1974 1104 1181 837 1891 1665
0:1203 1192 845 1104 1199 1944 1974 2240 1009 11538
0:1665 247 1009 9392 1181 944 1213 4689 1677 6623
0:14035 13912 15073 7790 13247 4604 10907 6653 8464 13442
0:1903 917 1928 746 1152 1910 7672 14607 3133 1261
0:13912 10907 13442 13247 14035 4604 15073 7790 6653 8464
0:5690 1767 2711 1395 1922 5807 2030 10039 5809 426
