3:3440 1538 13949 3804 15495 14758 2583 10608 14649 1199
2:14703 14288 12025 13476 16386 16706 11264 12477 16115 13640
5:917 4983 369 17 3185 5120 1747 7545 3160 120
3:1538 13949 6041 2583 3365 1629 2418 14649 3601 14758
2:16246 16141 3440 15856 14755 16318 14496 16131 14758 14502
1:418 205 11571 1303 935 10349 2364 11515 12522 1266
1:14607 14715 14285 16318 16319 16495 16045 13111 4179 14938
2:1117 120 549 4045 2898 4983 3907 1928 2350 17
3:14276 15521 16344 15484 15184 15197 15531 16959 12765 13043
2:16959 16154 13410 15197 16493 16155 16520 14502 15531 13321
3:767 684 11571 6204 7025 1301 4518 5489 9442 2710
0:15815 13727 14716 12477 1631 13109 13402 11264 10608 1079
4:11300 10977 6304 205 1199 10363 13323 772 13561 13036
5:1648 6304 12637 14732 12880 9417 9603 95 1199 418
2:4179 15677 14285 16319 15878 14607 12637 14938 13111 1648
3:7049 3440 6041 12379 13236 2583 1565 13949 6830 477
3:12205 5211 2489 12206 6294 3914 11203 11205 68 8297
0:50 1199 845 1974 5720 666 13561 15 43 15324
5:1538 4179 15382 10316 6359 1199 12115 11236 16043 14607
2:15197 13109 15609 4329 15614 767 15521 14846 12765 14502
4:12205 5211 68 11203 2489 11205 12206 8297 3914 8511
3:2300 485 23 1588 1955 50 2 10469 1657 8371
3:1538 767 2710 11538 250 777 3601 13410 204 13568
5:14276 12765 15609 15521 11571 14988 13911 15531 15944 15184
0:16105 16084 16386 16558 16497 16274 15983 16487 16807 16524
2:2489 4509 2462 628 10605 3782 13576 68 12205 1192
2:14288 10776 13409 11264 2628 12025 10363 14721 12379 13561
4:1152 1114 926 3328 1090 2282 2651 1773 5259 1113
2:16868 16803 16155 14758 16268 16318 16240 16896 16463 16564
0:14758 13949 14721 14181 12379 13409 16246 14354 15058 7049
3:2038 247 16 226 17 4285 3424 10043 14458 12453
2:845 1081 7647 12342 3264 4693 12359 1669 15354 2577
4:755 549 1400 5267 8511 7763 10983 2216 5855 3808
1:767 2364 16475 250 16493 687 15878 16749 11571 16520
5:6294 11887 11158 10505 2389 12205 525 6484 10983 243
1:50 6432 205 767 1544 1005 1568 1632 2300 47
4:453 276 23 209 47 813 39 1817 483 22
0:10204 6968 4693 6432 684 4518 50 13131 1538 1584
1:16084 16105 15983 16018 16296 3440 14715 12115 1199 16078
2:3244 6497 13278 2695 2393 10255 11418 9947 6411 2563
1:14703 16115 15354 15400 12342 16349 12523 5081 4970 15649
3:16475 16493 15865 14782 13130 13547 3088 12530 8272 15501
2:14732 15237 7156 8247 12880 16497 11249 11978 6304 15093
2:1152 1115 2282 1114 2691 2651 1690 917 1005 1903
0:11138 16318 14782 7076 1631 15267 16475 14502 845 767
1:15352 15815 13587 12899 16410 13640 14098 16045 15856 16127
3:14703 16349 12342 13958 12134 12523 3440 3264 684 4970
